,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Carolina Panthers,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
2015,"60,733","73,254","73,402","57,468",Bye,"69,020","74,194","74,136","74,461","63,591","74,418","90,909","73,097","74,420","79,436","70,981","74,169",
2016,"76,843","74,143","73,813","70,508","73,425","73,138",Bye,"74,088","86,109","74,181","73,288","54,909","69,104","73,856","76,689","73,549","62,037",
2017,"70,178","74,122","73,775","65,878","64,288","74,373","61,256","58,545","74,244","72,790",Bye,"77,562","73,171","73,728","74,447","71,463","74,141",
2018,"74,532","72,528","72,161",Bye,"74,221","60,482","69,696","73,843","73,513","62,881","61,999","74,002","52,568","59,392","74,188","73,722","73,028",
2019,"72,005","71,101","60,104","71,699","72,762","60,087",Bye,"69,083","72,540","78,090","73,106","73,068","71,504","70,592","72,544","61,845","72,203",
2020,,,,"5,120","6,656","5,240","3,000","5,240","12,073","5,815","5,546",,Bye,"5,768",,,"1,500",
2021,"70,211","70,675","68,320","93,262","72,545","72,104","71,889","68,583","72,203","62,400","73,350","62,389",Bye,"72,243","65,398","71,918","69,170","65,473"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pittsburgh Steelers ,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
2015,"66,829","66,472","52,433","63,929","67,658","63,846","76,365","64,750","65,520","64,402",Bye,"69,055","58,701","65,564","67,234","71,261","66,693",
2016,"79,124","65,072","69,596","61,278","66,385","65,351","66,009",Bye,"71,286","67,737","67,431","66,583","65,825","69,657","62,096","66,276","55,921",
2017,"67,431","65,971","61,172","71,126","66,237","76,994","65,363","64,983",Bye,"66,146","60,703","62,147","56,029","60,069","68,574","71,842","50,704",
2018,"67,431","63,956","62,571","62,030","64,781","60,594",Bye,"63,780","70,997","62,881","67,683","76,536","61,069","53,960","65,280","73,086","63,874",
2019,"65,878","65,063","69,439","57,959","64,037","25,425",Bye,"59,244","61,115","63,627","67,431","47,423","62,157","63,880","64,694","78,523","70,695",
2020,,,,Bye,"4,708","5,260","10,355","4,345","31,700","5,909","17,244",,,,"10,249",,"11,989",
2021,"69,787","63,707","58,076","78,281","59,841","60,821",Bye,"67,431","60,788","58,716","70,240","63,238","59,303","66,718","59,521","73,371","63,624","70,453"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
