year,0,2,3,4,5
2018,Week 1,Sep 6,W,18-12,vs Atlanta Falcons
2018,Week 2,Sep 16,L,27-21,at Tampa Bay Buccaneers
2018,Week 3,Sep 23,W,20-16,vs Indianapolis Colts
2018,Week 4,Sep 30,L,26-23,at Tennessee Titans (OT)
2018,Week 5,Oct 7,L,23-21,vs Minnesota Vikings
2018,Week 6,Oct 11,W,34-13,at New York Giants
2018,Week 7,Oct 21,L,21-17,vs Carolina Panthers
2018,Week 8,Oct 28,W,24-18,"at Jacksonville Jaguars at London, England"
2018,Week 9,Bye Week,Bye Week,Bye Week,
2018,Week 10,Nov 11,L,27-20,vs Dallas Cowboys
2018,Week 11,Nov 18,L,48-7,at New Orleans Saints
2018,Week 12,Nov 25,W,25-22,vs New York Giants
2018,Week 13,Dec 3,W,28-13,vs Washington Redskins
2018,Week 14,Dec 9,L,29-23,at Dallas Cowboys (OT)
2018,Week 15,Dec 16,W,30-23,at Los Angeles Rams
2018,Week 16,Dec 23,W,32-30,vs Houston Texans
2018,Week 17,Dec 30,W,24-0,at Washington Redskins
