,Week Number,Mean Streams,Total Streams,Mean Duration,Total Duration,First Quarter,Last Quarter
0,Week 1,308621.5733108959,116456807581,212873.2712557474,80326664542,2019Q3,2016Q3
1,Week 10,303958.06584168377,80050092262,212735.09447939883,56025701747,2018Q4,2015Q4
2,Week 11,307412.05625708424,115807347597,212696.66127623653,80126448146,2018Q4,2017Q4
3,Week 12,307412.05625708424,115807347597,212696.66127623653,80126448146,2018Q4,2017Q4
4,Week 13,333386.559129357,134757180906,210528.50819505847,85097096712,2018Q4,2016Q4
5,Week 14,316365.52358279703,105449374493,211587.4478196301,70525270170,2018Q4,2016Q4
6,Week 15,333386.559129357,134757180906,210528.50819505847,85097096712,2018Q4,2016Q4
7,Week 16,333386.559129357,134757180906,210528.50819505847,85097096712,2018Q4,2016Q4
8,Week 17,303321.62656930747,109374442003,212024.6906866266,76453771190,2018Q4,2016Q1
9,Week 18,337323.2433237099,18694454145,203369.03251533743,11270711782,2021Q1,2021Q1
10,Week 2,308621.5733108959,116456807581,212873.2712557474,80326664542,2019Q3,2016Q3
11,Week 3,308621.5733108959,116456807581,212873.2712557474,80326664542,2019Q3,2016Q3
12,Week 4,305561.99932765105,101346665003,211608.09044148907,70184690181,2019Q3,2017Q4
13,Week 5,299609.57817295654,117043380542,212265.36922537393,82922103284,2019Q4,2016Q4
14,Week 6,299609.57817295654,117043380542,212265.36922537393,82922103284,2019Q4,2016Q4
15,Week 7,299609.57817295654,117043380542,212265.36922537393,82922103284,2019Q4,2016Q4
16,Week 8,326143.19520709326,105200749046,210706.45886036707,67965475370,2019Q4,2016Q4
17,Week 9,292045.6607360543,75704076176,214869.85983720393,55698565067,2016Q4,2017Q4
